time_msec,throughput,current_buffer,current_playing_segment
96081,213.138,0,10
96205,283.317,0,10
96311,219.17,0,10
96417,219.17,0,10
96525,217.121,0,10
96630,221.257,0,10
96842,73.0588,1.883,11
96949,219.17,1.773,11
97049,464.64,1.673,11
97163,308.389,1.563,11
97279,303.026,1.442,11
97393,305.684,1.333,11
97529,258.133,1.194,11
97660,266.015,1.063,11
97766,328.755,0.953,11
97896,268.062,0.823,11
98001,335.077,0.722,11
98107,221.257,0.613,11
98224,700.966,0.504,11
98343,390.454,0.382,11
98463,387.2,0.262,11
98583,390.454,0.143,11
98700,397.128,0.023,11
98820,390.454,0,11
98940,390.454,0,11
99058,393.763,0,11
99178,390.454,0,11
99300,571.279,0,11
99401,464.64,0,11
99502,460.04,0,11
99619,400.552,0,11
99721,455.529,0,11
99824,455.529,0,11
99949,468.387,0,11
100049,464.64,0,11
100156,657.509,0,11
100278,476.066,0,11
100391,622.286,0,11
100493,569.412,0,11
100597,558.462,0,11
100700,569.412,0,11
100804,558.462,0,11
100908,563.883,0,11
101012,563.883,0,11
101116,563.883,0,11
101220,558.462,0,11
101324,563.883,0,11
101426,569.412,0,11
101545,590.644,0,11
101659,611.368,0,11
101769,639.413,0,11
101882,616.779,0,11
101999,600.828,0,11
102106,651.364,0,11
102220,917.053,0,11
102329,645.333,0,11
102437,645.333,0,11
102549,622.286,0,11
102663,822.372,0,11
102783,677.6,0,11
102885,805.069,0,11
102996,739.2,0,11
103107,732.541,0,11
103219,726,0,11
103330,739.2,0,11
103441,732.541,0,11
103552,633.6,0,11
103658,657.509,0,11
103772,719.575,0,11
103876,893.538,0,11
103977,580.8,0,11
104098,960,0,11
104201,676.66,0,11
104310,1290.67,0,11
104424,822.372,0,11
104537,822.372,0,11
104637,813.12,0,11
104738,805.069,0,11
104841,797.176,0,11
104943,1024.94,0,11
105055,726,0,11
105161,1106.29,0,11
105265,902.214,0,11
105367,911.059,0,11
105483,801.103,0,11
105586,683.294,0,11
105696,852.55,0,11
105798,1024.94,0,11
105905,1095.85,0,11
106104,0,1.901,12
106208,321.864,1.79,12
106321,829.714,1.68,12
106526,226.654,1.481,12
106629,1365.33,1.371,12
106735,547.925,1.271,12
106836,929.28,1.17,12
106938,911.059,1.06,12
107045,1095.85,0.961,12
107150,885.029,0.851,12
107257,1315.02,0.741,12
107366,968,0.641,12
107470,1014.99,0.53,12
107573,1240.54,0.43,12
107676,911.059,0.331,12
107777,920.079,0.221,12
107888,1267.2,0.111,12
108000,627.892,0.001,12
108114,1222.74,0,12
108220,1438.17,0,12
108326,547.925,0,12
108427,1161.6,0,12
108534,1954.09,0,12
108635,1161.6,0,12
108741,1095.85,0,12
108845,1240.54,0,12
108947,1138.82,0,12
109052,1106.29,0,12
109156,1240.54,0,12
109265,1172.26,0,12
109368,1138.82,0,12
109480,933.429,0,12
109590,1478.4,0,12
109692,1035.09,0,12
109794,1610.14,0,12
109900,995.657,0,12
110005,1438.17,0,12
110107,1035.09,0,12
110207,1277.76,0,12
110311,1014.99,0,12
110413,1252.71,0,12
110518,1452,0,12
110625,1736.97,0,12
110725,1277.76,0,12
110832,1424.6,0,12
110938,1315.02,0,12
111038,1277.76,0,12
111139,1277.76,0,12
111246,1302.73,0,12
111351,1452,0,12
111465,1222.74,0,12
111574,1183.11,0,12
111675,1277.76,0,12
111786,1569.73,0,12
111890,1228.62,0,12
111992,1610.14,0,12
112100,1183.11,0,12
112211,1478.4,0,12
112312,1495.13,0,12
112418,1880.69,0,12
112522,1340.31,0,12
112628,1438.17,0,12
112729,1277.76,0,12
112837,1613.33,0,12
112939,1495.13,0,12
113047,1519.85,0,12
113155,1505.78,0,12
113256,1510.08,0,12
113359,1353.32,0,12
113461,1495.13,0,12
113569,1183.11,0,12
113676,1315.02,0,12
113777,1495.13,0,12
113881,1452,0,12
113986,1452,0,12
114087,1610.14,0,12
114187,1626.24,0,12
114289,1955.17,0,12
114393,1228.62,0,12
114493,1974.72,0,12
114602,1936,0,12
114710,1290.67,0,12
114812,1495.13,0,12
